point_id,fire_date,image_date,longitude,latitude,NDVI,NDWI,NBR,NDRE,VV,VH
2024323_+71804+17175,2024-11-18T00:00:00,2024-06-11T00:00:00,73.34989425519886,32.08656422721078,,,,,,
2024323_+71809+17214,2024-11-18T00:00:00,2024-06-11T00:00:00,73.28816470310889,31.981758788959013,,,,,,
2024323_+71811+17133,2024-11-18T00:00:00,2024-06-11T00:00:00,73.49115808738622,32.224834768270654,,,,,,
2024323_+71826+17256,2024-11-18T00:00:00,2024-06-11T00:00:00,73.2482253266501,31.827076751002743,,,,,,
2024323_+71871+17195,2024-11-18T00:00:00,2024-06-11T00:00:00,73.5636969883532,32.020801408901804,,,,,,
2024323_+71898+17271,2024-11-18T00:00:00,2024-06-11T00:00:00,73.46496482192246,31.7628088139974,,,,,,
2024323_+71974+17024,2024-11-18T00:00:00,2024-06-11T00:00:00,74.45055598772258,32.6008631909091,,,,,-11.417459535475995,-20.46842118398837
2024323_+72006+17375,2024-11-18T00:00:00,2024-06-11T00:00:00,73.6236284829181,31.412073783016243,,,,,,
2024323_+72006+17390,2024-11-18T00:00:00,2024-06-11T00:00:00,73.57608475333191,31.36240675939828,,,,,,
2024323_+72024+17420,2024-11-18T00:00:00,2024-06-11T00:00:00,73.56548355312896,31.256940980851496,,,,,,
2024323_+72039+17437,2024-11-18T00:00:00,2024-06-11T00:00:00,73.59340341495515,31.205679707092717,,,,,,
2024323_+72058+17412,2024-11-18T00:00:00,2024-06-11T00:00:00,73.71938574086425,31.28729305084026,,,,,-12.620342195136312,-18.309087736369133
2024323_+72078+17126,2024-11-18T00:00:00,2024-06-11T00:00:00,74.57909036736426,32.253500612148926,,,,,-11.756235994125072,-20.140551138267316
2024323_+72081+17422,2024-11-18T00:00:00,2024-06-11T00:00:00,73.7877173152273,31.253568528630524,,,,,-10.927692226792585,-18.04499863494257
2024323_+72093+17271,2024-11-18T00:00:00,2024-06-11T00:00:00,74.24041484003489,31.7628088139974,,,,,-14.998177215668614,-22.86655444416814
